№ з/п,Назва,ПМГ,№ пакету,Глава у Порядку №1808
1,Первинна медична допомога,TRUE,1,1
2,Екстрена медична допомога,TRUE,2,2
3,Хірургічні операції дорослим та дітям у стаціонарних умовах,TRUE,3,3
4,Стаціонарна допомого дорослим та дітям без проведення хірургічних операції,TRUE,4,3
5,Медична допомога при гострому мозковому інсульті,TRUE,5,4
6,Медична допомога при гострому інфаркті міокарда,TRUE,6,5
7,Медична допомога при пологах,TRUE,7,6
8,Медична допомого новонародженим у складних неонатальних випадках,TRUE,8,7
9,"Профілактика, діагностика, спостереження та лікування в амбулаторних умовах",TRUE,9,8
10,Мамографія,TRUE,10,11
11,Гістероскопія,TRUE,11,12
12,Езофогогастродуоноскопія,TRUE,12,13
13,Колоноскопія,TRUE,13,14
14,Цитоскопія,TRUE,14,15
15,Бронхоскопія,TRUE,15,16
16,Лікування пацієнтів методом гемодіалізу в амбулаторних умовах,TRUE,16,17
17,Хіміотерапевтичне лікування та супровід пацієнтів з онкологічними захворюваннями в стаціонарних та амбулаторних умовах,TRUE,17,19
18,Радіологічне лікування та супровід пацієнтів з онкологічними захворюваннями в стаціонарних та амбулаторних умовах,TRUE,18,20
19,Психіатрична допомога дорослим та дітям у стаціонарних умовах,TRUE,19,22
20,"Діагностика та лікування дорослих і дітей, хворих на туберкульоз, у стаціонарних та амбулаторних умовах",TRUE,20,24
21,"Діагностика, лікування та супровід осіб із вірусом імунодефіциту людини (та підозрою на ВІЛ)",TRUE,21,25
22,Лікування осіб із психічними та поведінковими рзладами внаслідок вживання опіоїдів із використанням препаратів замінної підтримуючої терапії,TRUE,22,26
23,Стаціонарна паліативна медична допомога дорослим та дітям,TRUE,23,27
24,Мобільна паліативна медична допомога дорослим та дітям,TRUE,24,28
25,"Медична реабілітація немовлят, які народилися передчасно та/або хворими, протягом перших трьох років життя",TRUE,25,29
26,Стоматологічна допомога дорослим та дітям,TRUE,34,9
27,Ведення вагітності в амбулаторних умовах,TRUE,35,10
28,Лікування пацієнтів методом перитонеального діалізу в амбулаторних умовах,TRUE,37,18
29,Лікування та супровід пацієнтів з гематологіними та онкогематологічними захворюваннями в стаціонарних та амбулаторних умовах,TRUE,38,21
30,Готовність закладу охорони здоров'я до надання медичної допомоги в надзвичайних ситуаціях,TRUE,42,32
31,Хірургічні операції дорослим та дітям в умовах стаціонару одного дня,TRUE,47,3
32,Неонатальний скринінг,TRUE,48,33
33,"Забезпечення збереження кадрового потенціалу для надання медичної допомого населенню, яке перебуває на територіях бойових дій",TRUE,49,43
34,Забезпечення кадрового потенціалу системи охорони здоров'я шляхом організації надання медичної допомоги із залученням лікарів інтернів,TRUE,50,42
35,Реабілітаційна допомога дорослим та дітям у стаціонарних умовах,TRUE,53,30
36,Реабілітаційна допомога дорослим та дітям у амбулаторних умовах,TRUE,54,31
37,Секційне дослідження,TRUE,55,35
38,"Готовність забезпечення надання медичної допомого населенню, яке перебуває на території, де ведуться бойові дії",TRUE,57,36
39,"Медичний огляд осіб, який організовується територіальними центрами комплектування та стаціонарної підтримки",TRUE,60,34
40,Лікування безпліддя за допомогою допоміжних репродуктивних технологій (запліднення in vitro),TRUE,63,37
41,Лікування дорослих та дітей методом трансплантації органів,TRUE,64,38
42,Лікування дорослих та дітей методом трансплантації гемопоетичних стовбурових клітин,TRUE,65,39
43,Перехідне фінансове забезпечення надання медичних послуг закладами охорони здоров'я,TRUE,68,41
44,Проведення досліджень з радіоізотопної медичної візуалізації та діагностики (позитронно-емісійної томограції),TRUE,70,40
45,"Психосоціальна та психіатрична допомога дорослим та дітям, що надається в цінтрах ментального (психічного) здоров'я та мобільними мультисциплінарними командами",TRUE,72,23
46,"Медична допомого дітям, які потребують лікування та постійного спостереження",TRUE,86,44
1,"Зубопротезування окремих категорій осіб, які захищають/захищали незалежність, сувернітет та територіальну цілісність України (група послуг № 1)",FALSE,66,ПКМУ від 11.02.2025 №156
2,"Стоматологічна допомога окремій категорії осіб, які захищають/захищали незалежність, сувернітет та територіальну цілісність України (група послуг № 1)",FALSE,67,ПКМУ від 11.02.2025 №156
3,"Медичні послуги із здійснення забору, кріоконсервації та сберігання репродуктивних клітин війсбковослужбовців та інших осбі на випадоквтрати репродуктивниї функції під час виконання обов'язків із оборони держави, захисту Вітчизни та інших покладених на них обов'язків",FALSE,71,ПКМУ від 11.02.2025 №156
4,"Розширені послуги з первинної медичної допомого окремим категоріям осіб, які захищали незалежність, сувернітет та територіальну цілісність України",FALSE,73,ПКМУ від 04.02.2025 №140
5,Послуги довготривалого медсестринського догляду внутрішньо переміщених осіб,FALSE,84,ПКМУ від 17.09.2025 №1169
